id,utility_on_time_ratio,utility_missed_payment_rate,utility_amount_volatility,utility_observation_months,telecom_recharge_regularity,telecom_account_tenure_months,telecom_failed_payment_rate,wallet_inflow_regularity,wallet_outflow_volatility,wallet_balance_stability,wallet_failed_transaction_rate,bill_payment_consistency,simulated_repayment_ratio,simulated_days_late_average,cash_flow_coverage,income_stability,expense_volatility,negative_balance_days,account_age_months,data_completeness,synthetic_audit_group,simulated_repayment_success
synthetic-00079,0.428,0.1521,0.3045,12,0.5183,51,0.0776,0.5219,0.3427,0.5078,0.0368,0.5489,0.5332,6,0.4726,0.4227,0.3118,2,42,1,Synthetic Region Group C,0
synthetic-00080,,,,,0.5232,46,0.1231,0.5285,,,0.0871,0.6466,,,0.6377,0.636,0.4016,3,49,0.6,Synthetic Region Group D,0
synthetic-00081,0.8537,0.0679,0.2762,12,0.756,64,0.0377,0.822,0.3048,0.7586,0.0758,0.8308,0.8676,0,0.8258,0.8966,0.2256,0,70,1,Synthetic Region Group A,1
synthetic-00082,0.6269,0.1332,0.2742,12,0.728,61,0.1225,0.5931,0.2574,0.6097,0.0453,0.6003,0.7394,3,0.7202,0.5923,0.3102,3,56,1,Synthetic Region Group B,1
synthetic-00083,0.5546,0.1086,0.3124,12,0.5703,48,0.0503,0.5761,,,0.0449,0.5448,0.4635,7,0.5211,0.5607,0.4022,5,42,0.9,Synthetic Region Group C,0
synthetic-00084,0.5656,0.1122,0.3116,7,0.6058,52,0.117,0.6093,0.307,0.6211,0.0768,,,,,,,,51,0.65,Synthetic Region Group D,0
synthetic-00085,0.8783,0.0521,0.2735,12,0.7902,62,0.048,0.858,0.3526,0.7777,0.0665,0.7405,,,0.8162,0.87,0.2443,0,69,0.9,Synthetic Region Group A,1
synthetic-00086,0.6789,0.1295,0.3082,12,0.7155,59,0.0671,0.5835,,,0.0405,0.631,0.5944,2,0.6811,0.5794,0.3415,0,52,0.9,Synthetic Region Group B,1
synthetic-00087,0.4345,0.0939,0.3587,12,0.4911,48,0.1414,,0.4489,0.5487,,0.4871,0.573,6,0.4783,0.5237,0.3493,4,48,0.9,Synthetic Region Group C,0
synthetic-00088,0.603,0.0599,0.352,7,0.6322,51,0.085,0.5272,,,0.0673,0.5771,,,0.5271,0.5502,0.3108,0,55,0.8,Synthetic Region Group D,0
synthetic-00089,0.7601,0.0804,0.203,12,0.8307,60,0.0743,0.7741,0.2737,0.7819,0.0002,0.8879,0.7621,0,0.8957,0.8176,0.2871,0,63,1,Synthetic Region Group A,1
synthetic-00090,0.6103,0.1237,0.3761,12,0.6204,58,0.0447,0.7166,0.3743,0.5821,0.1052,0.6701,0.5941,2,0.6693,0.7004,0.3925,0,57,1,Synthetic Region Group B,1
synthetic-00091,0.5203,0.1165,0.3173,12,0.5582,50,0.0651,0.574,0.4044,0.4273,0.1191,0.5189,0.424,3,0.4479,0.5537,0.4404,3,42,1,Synthetic Region Group C,0
synthetic-00092,0.6315,0.0547,0.3731,7,0.5118,54,0.123,,0.3982,0.6357,,0.6019,,,0.6552,0.5666,0.3946,2,49,0.8,Synthetic Region Group D,1
synthetic-00093,0.8719,0.041,0.2792,12,,,,0.7638,0.2111,0.7771,0.0236,0.7827,0.751,0,0.8645,0.8076,0.25,0,69,0.85,Synthetic Region Group A,1
synthetic-00094,0.6355,0.0997,0.3765,12,0.614,52,0.036,0.6895,0.3062,0.6469,0.0745,0.6954,0.602,4,0.5985,0.6101,0.3696,0,54,1,Synthetic Region Group B,1
synthetic-00095,0.5707,0.1601,0.3569,12,0.5644,50,0.1078,0.4412,0.3645,0.4573,0.1329,0.4858,0.5106,3,0.4532,0.5224,0.3779,3,42,1,Synthetic Region Group C,0
synthetic-00096,0.6113,0.1478,0.3954,7,0.5258,57,0.0949,0.6418,0.3656,0.551,0.0353,0.561,0.5678,2,0.5361,0.6278,0.3533,2,50,1,Synthetic Region Group D,1
synthetic-00097,0.7638,0.1066,0.2657,12,,,,0.7523,0.2451,0.8027,0.0342,0.8771,0.7492,0,0.7823,0.7822,0.3466,0,67,0.85,Synthetic Region Group A,1
synthetic-00098,0.5824,0.0536,0.2476,12,0.6108,55,0.1228,0.698,0.4033,0.7168,0.0345,0.6705,0.6537,1,0.7313,0.6949,0.3917,1,60,1,Synthetic Region Group B,1
synthetic-00099,0.5351,0.1087,0.4444,12,0.4943,48,0.0681,0.5405,0.3728,0.4761,0.1188,0.4747,0.4955,2,0.5316,0.549,0.3152,4,50,1,Synthetic Region Group C,1
synthetic-00100,0.6124,0.0681,0.4225,7,0.5739,47,0.0479,0.6202,0.3942,0.5652,0.0983,0.5029,,,0.5005,0.6294,0.3228,1,50,0.9,Synthetic Region Group D,1
synthetic-00101,0.8208,0.0993,0.3428,12,0.8807,66,0.0892,0.8129,0.2374,0.8369,0.0995,0.758,0.7614,0,0.7626,0.7994,0.3489,0,69,1,Synthetic Region Group A,1
synthetic-00102,0.5926,0.0846,0.2788,12,0.6348,51,0.1063,0.5894,0.2503,0.7303,0.0437,0.7385,0.6197,1,0.6349,0.5902,0.3173,1,55,1,Synthetic Region Group B,1
synthetic-00103,0.4695,0.0879,0.4512,12,0.5285,43,0.1162,0.4958,0.4579,0.5345,0.0838,0.4309,0.4878,7,0.4767,0.4824,0.3123,2,50,1,Synthetic Region Group C,0
synthetic-00104,0.6141,0.0847,0.4026,7,0.6278,56,0.1308,0.5227,0.3763,0.5309,0.1219,0.5779,0.5828,1,0.5955,0.5868,0.3022,4,54,1,Synthetic Region Group D,1
synthetic-00105,0.8428,0.038,0.2712,12,0.7974,66,0.0942,0.814,0.357,0.8836,0.0283,0.8717,0.8258,1,0.7954,0.8131,0.2741,0,66,1,Synthetic Region Group A,1
synthetic-00106,0.6692,0.0894,0.3065,12,,,,0.7177,0.2926,0.7017,0.031,0.6444,0.6278,2,0.6604,0.7031,0.2935,0,52,0.85,Synthetic Region Group B,1
synthetic-00107,0.5593,0.1264,0.441,12,0.5433,47,0.1003,0.5034,0.3287,0.4931,0.0492,0.4553,0.5651,4,0.5374,0.4989,0.4002,2,46,1,Synthetic Region Group C,1
synthetic-00108,,,,,0.5128,53,0.1327,,0.3182,0.6158,,0.6453,,,0.6086,0.5068,0.3998,2,47,0.6,Synthetic Region Group D,0
synthetic-00109,0.7451,0.0638,0.2073,12,0.8611,67,0.0614,0.8105,0.2546,0.8373,0.0432,0.8075,0.8914,0,0.7595,0.8376,0.2556,0,70,1,Synthetic Region Group A,1
synthetic-00110,0.7102,0.1099,0.3784,12,0.6048,51,0.0724,0.6141,0.3212,0.6723,0.0988,0.7153,0.5964,2,0.733,0.7278,0.2654,2,56,1,Synthetic Region Group B,1
synthetic-00111,0.4199,0.0979,0.3357,12,0.4479,43,0.0662,0.4546,0.3831,0.5032,0.1292,0.4798,0.5202,7,0.5213,0.4992,0.441,1,50,1,Synthetic Region Group C,0
synthetic-00112,0.6332,0.1245,0.2746,7,0.5518,56,0.0983,0.509,0.2968,0.52,0.0648,0.6355,0.6325,5,0.6536,0.5626,0.2845,2,54,1,Synthetic Region Group D,1
synthetic-00113,0.8709,0.1079,0.2787,12,0.8101,62,0.0592,0.8498,0.2911,0.7585,0.0608,0.8962,0.8224,0,0.8242,0.8197,0.3075,0,64,1,Synthetic Region Group A,1
synthetic-00114,0.6227,0.0843,0.2836,12,0.6285,57,0.0618,0.7406,0.2554,0.5864,0.0139,0.6152,0.7313,0,0.7097,0.7317,0.2806,0,61,1,Synthetic Region Group B,1
synthetic-00115,0.5624,0.113,0.3094,12,0.4217,43,0.052,0.5771,0.3167,0.4556,0.1268,0.4697,0.5325,7,0.4639,0.5577,0.3108,5,51,1,Synthetic Region Group C,0
synthetic-00116,0.6416,0.0736,0.3365,7,0.6048,46,0.0875,0.5816,0.4242,0.5614,0.0923,0.5697,,,0.5348,0.6109,0.3356,2,49,0.9,Synthetic Region Group D,0
synthetic-00117,0.8548,0.078,0.2181,12,,,,0.8225,0.2584,0.897,0.1027,0.8608,0.8042,1,0.7713,0.8379,0.2069,0,62,0.85,Synthetic Region Group A,1
synthetic-00118,0.5808,0.1129,0.2719,12,0.5954,57,0.0817,0.6924,0.3464,0.5843,0.0232,0.6105,0.6083,4,0.6318,0.6043,0.2528,3,59,1,Synthetic Region Group B,1
synthetic-00119,0.5609,0.0735,0.2991,12,0.5467,51,0.0525,0.4503,0.3114,0.5143,0.1241,0.4841,0.4791,3,0.4527,0.4662,0.4475,3,44,1,Synthetic Region Group C,0
synthetic-00120,0.5223,0.0991,0.4195,7,0.5454,54,0.0693,,0.2958,0.5985,,0.508,0.5047,6,0.5265,0.5016,0.3829,0,48,0.9,Synthetic Region Group D,1
synthetic-00121,0.7535,0.0802,0.1919,12,0.8414,62,0.0707,0.8262,0.3564,0.7533,0.0464,,0.8597,0,,,,,69,0.75,Synthetic Region Group A,1
synthetic-00122,0.7265,0.1024,0.3992,12,0.6406,61,0.0365,0.6607,0.3567,0.695,0.0785,,0.6378,0,,,,,57,0.75,Synthetic Region Group B,1
synthetic-00123,0.4286,0.1193,0.3952,12,0.47,52,0.0873,0.5693,0.3025,0.5138,0.0791,0.5654,0.5258,4,0.5575,0.4945,0.3177,4,51,1,Synthetic Region Group C,1
synthetic-00124,0.5915,0.0834,0.2934,7,0.6377,47,0.0902,0.6429,0.3534,0.5726,0.0643,0.638,,,0.5836,0.6278,0.3162,1,49,0.9,Synthetic Region Group D,1
synthetic-00125,0.84,0.0853,0.3032,12,0.8409,60,0.0247,0.7929,0.2966,0.7753,0.0054,0.8714,0.7754,0,0.76,0.8467,0.265,0,63,1,Synthetic Region Group A,1
synthetic-00126,0.6808,0.058,0.3806,12,0.6262,52,0.1069,0.6767,0.3992,0.6869,0.0741,0.583,0.6187,0,0.7212,0.598,0.3013,1,59,1,Synthetic Region Group B,1
synthetic-00127,0.5732,0.1082,0.3907,12,0.42,51,0.113,0.5576,0.3947,0.5071,0.0508,0.5696,0.5465,5,0.5502,0.5349,0.369,3,49,1,Synthetic Region Group C,1
synthetic-00128,,,,,0.6109,50,0.0426,,0.3433,0.5787,,0.6072,0.6509,3,0.5612,0.5018,0.4047,0,53,0.7,Synthetic Region Group D,1
synthetic-00129,0.8968,0.0666,0.2733,12,0.8858,59,0.0917,0.8598,0.2093,0.7569,0.0514,0.8569,0.8526,1,0.7729,0.8064,0.2065,0,62,1,Synthetic Region Group A,1
synthetic-00130,0.6581,0.1263,0.2912,12,0.6209,51,0.0388,0.6761,0.2597,0.6305,0.054,0.631,0.6629,4,0.641,0.7327,0.4003,3,58,1,Synthetic Region Group B,1
synthetic-00131,0.5562,0.1109,0.4058,12,0.4411,45,0.1351,0.5796,0.4368,0.5437,0.0986,0.5024,0.5456,7,0.5465,0.5573,0.3323,4,43,1,Synthetic Region Group C,1
synthetic-00132,0.5689,0.0581,0.273,7,0.5628,55,0.1141,,,,,0.6432,0.5395,6,0.6573,0.6482,0.4098,0,57,0.8,Synthetic Region Group D,1
synthetic-00133,0.7833,0.0446,0.2501,12,0.7391,66,0.0194,0.8984,0.219,0.8973,0.0731,0.8595,,,0.8783,0.8532,0.328,0,69,0.9,Synthetic Region Group A,1
synthetic-00134,0.6865,0.1331,0.3707,12,0.6143,60,0.049,0.6969,0.3034,0.7208,0.0219,0.6436,0.6589,0,0.6071,0.7296,0.2883,2,54,1,Synthetic Region Group B,1
synthetic-00135,0.4814,0.1115,0.4316,12,0.4383,51,0.0561,,0.4389,0.4903,,0.5745,0.505,4,0.4321,0.5352,0.3379,3,45,0.9,Synthetic Region Group C,0
synthetic-00136,0.5316,0.066,0.4009,7,0.5036,50,0.0751,,0.3005,0.5876,,0.6026,0.5662,5,0.6402,0.6247,0.4322,4,50,0.9,Synthetic Region Group D,1
synthetic-00137,0.867,0.0306,0.2174,12,0.7568,62,0.0926,0.7879,0.1968,0.9004,0.0085,0.7689,0.7802,0,0.895,0.778,0.3265,0,71,1,Synthetic Region Group A,1
synthetic-00138,0.6789,0.0977,0.249,12,0.6997,54,0.0827,,0.4033,0.612,,0.7023,0.6752,2,0.5963,0.6359,0.299,2,55,0.9,Synthetic Region Group B,1
synthetic-00139,0.5743,0.1146,0.4174,12,0.474,51,0.0728,,0.3356,0.5783,,0.5661,,,0.5287,0.5523,0.3302,3,52,0.8,Synthetic Region Group C,0
